"","index_ft","i_ft","norm_i_ft","ratio_dialogue_text","i_do","norm_i_do","i_nd","norm_i_nd","mean_literary_rating","genre_name","genre_id"
"33","Koryta_Begraven 102",0.472586872586873,0.524404510792975,0.298296037774584,0.410041841004184,0.687306884904123,0.507334963325183,0.361502136681827,4.16842105263157,"Suspense","Suspense"
"34","Lackberg_SneeuwstormEnAmandelgeur 24",0.165530671859786,0.481819783834586,0.726912526668699,0,0,0.526315789473684,0.963639567669173,4.08045977011494,"Suspense","Suspense"
"35","Larsson_VrouwDieMet 247",0.203962703962704,0.239649440168431,0.438836348684211,0.410194174757282,0.467365768568615,0.0133928571428571,0.0119331117682464,4.04107830551989,"Suspense","Suspense"
"36","Lewinsky_LotVanFamilie 306",0.198823529411765,0.630961957153028,0.153019447287615,0.358974358974359,1.17296972815367,0.150684931506849,0.0889541861523817,5.71598414795244,"Fiction","Fiction"
"37","Mankell_GekweldeMan 164",0.297431648715824,0.234156606304494,0.511053984575836,0.478666666666667,0.468313212608987,0,0,4.76612903225806,"Suspense","Suspense"
"38","Mastras_TranenOverKashmir 12",0.126422250316056,0.525618987625586,0.207698557789965,0.436681222707424,1.05123797525117,0,0,4.79310344827586,"Fiction","Fiction"
"39","Middelbeek_Turbulentie",0.507347254447022,0.53320848700518,0.36545604622369,0.478079331941545,0.65408595217073,0.52328431372549,0.41233102183963,2.83333333333333,"Romantic","Romantic"
"40","Montefiore_Affaire 35",0.28503937007874,0.238664958131593,0.52447117378681,0.500691562932227,0.477329916263187,0,0,3.2061855670103,"Romantic","Romantic"
"41","Mortier_GestameldLiedboek 5",0.409716599190283,1.48865434383793,0.0689338235294118,0.38,2.75626666666667,0.411609498680739,0.221042021009202,6.54086956521739,"Fiction","Fiction"
"42","Neill_VriendschapLiefdeEn 65",0.17184265010352,0.466061544047461,0.258156898844226,0.481268011527378,0.932123088094923,0,0,3.45454545454545,"Romantic","Romantic"
"43","Nesbo_Schim 22",0.270588235294118,0.301408559410904,0.362791637208363,0.291021671826625,0.401086521820075,0.257088846880907,0.201730597001733,4.16797900262467,"Suspense","Suspense"
"44","Patterson_Hitte 75",0.568238213399504,0.568795741938928,0.398654244306418,0.495201535508637,0.621091512985385,0.621190130624093,0.516499970892472,3.5375,"Suspense","Suspense"
"45","Pauw_Daglicht 37",0.53106936416185,0.519356166492092,0.465914968449364,0.426356589147287,0.457547640684594,0.620782726045884,0.581164692299589,3.97260273972602,"Suspense","Suspense"
"46","Rijn_LastMinute 21",0.132661628883291,0.689847686669721,0.19344262295082,0.533783783783784,1.37969537333944,0,0,3.32019704433497,"Suspense","Suspense"
"47","Rose_MoordVoorMij 16",0.220708446866485,0.246249443731996,0.421410891089109,0.412265758091993,0.489149386987269,0.00387596899224806,0.00334950047672346,3.74829931972789,"Suspense","Suspense"
"48","Rosenfeldt_WatVerborgenIs 28",0.138331573389652,0.449862074533949,0.228036043415933,0.408945686900958,0.89666896683313,0.00471698113207547,0.00305518223476914,4.12616822429906,"Suspense","Suspense"
"49","Rosnay_DieLaatsteZomer 9",0.258536585365854,0.503268748309812,0.261505199217544,0.465181058495822,0.889429846686991,0.172966781214204,0.117107649932634,4.59459459459459,"Fiction","Fiction"
"50","Royen_Mannentester 7",0.471877282688093,0.65262872959811,0.230777117080172,0.460227272727273,0.997125015144784,0.474045053868756,0.308132444051436,3.17972350230414,"Fiction","Fiction"
"51","RuizZafon_SpelVanEngel 155",0.67787610619469,0.811999107154119,0.285507695486004,0.653846153846154,1.1450587220305,0.684397163120567,0.478939492277737,5.65797546012269,"Fiction","Fiction"
"52","Smith_OpVolleZee 114",0.269772481040087,0.237295490810374,0.477834525025536,0.453551912568306,0.474590981620748,0,0,3.656,"Suspense","Suspense"
"53","Stevens_Vermist 114",0.563809523809524,0.55891376351402,0.475030826140567,0.508196721311475,0.534909203093584,0.612028301886792,0.582918323934455,4.1796875,"Suspense","Suspense"
"54","Stockett_Keukenmeidenroman 87",0.567889908256881,0.780549021810057,0.245321607526332,0.583870967741935,1.19001129502884,0.560102301790281,0.371086748591271,4.95323246217331,"Fiction","Fiction"
"55","Verhoef_Close-up 84",0.568181818181818,0.572893799758501,0.400723888314374,0.515260323159785,0.642911912897434,0.602722772277228,0.502875686619568,3.67428571428571,"Suspense","Suspense"
"56","Verhoef_Tegenlicht 32",0.498802873104549,0.596395552355401,0.269567907600289,0.452316076294278,0.838964994610867,0.516891891891892,0.353826110099935,4.20461095100864,"Fiction","Fiction"
"57","Vlugt_Herfstlied 19",0.254868755292125,0.342384504550803,0.38743186259385,0.484674329501916,0.62549621791175,0.0726172465960666,0.0592727911898552,4.00333333333333,"Suspense","Suspense"
"58","Voskuijl_Dorp 41",0.381048387096774,0.447054096900678,0.396782841823056,0.532219570405728,0.670668580274785,0.269565217391304,0.22343961352657,5.52083333333333,"Suspense","Suspense"
"59","Wieringa_Caesarion 57",0.46029298380879,0.626719265354721,0.246988561595303,0.470198675496689,0.951863261317989,0.454179254783484,0.301575269391453,6.20282413350449,"Fiction","Fiction"
"60","Winter_RechtOpTerugkeer 128",0.254768392370572,0.340699588477366,0.338809034907598,0.461728395061728,0.681399176954733,0,0,5.75268817204301,"Fiction","Fiction"
